n_features,method,adjusted_r_squared,,,,
21,SIS,0.571093065,0.571093065,0.589785518,0.571093065,0.589785518
22,SIS,0.589577393,0.570875457,0.589577393,0.589577393,0.589577393
23,SIS,0.589369057,0.570657627,0.589369057,0.570657627,0.570657627
24,SIS,0.570439576,0.589160509,0.589160509,0.570439576,0.589160509
25,SIS,0.570221303,0.588951749,0.570221303,0.588951749,0.570221303
26,SIS,0.571317611,0.571317611,0.587986871,0.587986871,0.571317611
27,SIS,0.587777301,0.571099563,0.587777301,0.587777301,0.587777301
28,SIS,0.570881293,0.587567519,0.570881293,0.587567519,0.570881293
29,SIS,0.587357523,0.587357523,0.587357523,0.570662801,0.587357523
30,SIS,0.596646564,0.570694066,0.596646564,0.570694066,0.596646564
