n_features,method,adjusted_r_squared  run1,run 2,run 3, run  4,run5,均值,标准差
11,SIS,0.852741744,0.826254023,0.88314287,0.702980895,0.852741744,0.823572255,0.07035596
12,SIS,0.816034927,0.890258196,0.890258196,0.895241406,0.852598913,0.868878328,0.034156455
13,SIS,0.852455805,0.852455805,0.891332348,0.852455805,0.852455805,0.860231114,0.017386119
14,SIS,0.899153086,0.825747475,0.899153086,0.899153086,0.899153086,0.884471964,0.032827987
15,SIS,0.898754608,0.852168754,0.852168754,0.852168754,0.898754608,0.870803096,0.025516123
16,SIS,0.898656024,0.898656024,0.898656024,0.814179201,0.898656024,0.881760659,0.037779184
17,SIS,0.825237964,0.851880584,0.851880584,0.825237964,0.898557248,0.850558869,0.02995678
18,SIS,0.89845828,0.851736078,0.89845828,0.89845828,0.825067465,0.874435676,0.034218959
19,SIS,0.851591289,0.851591289,0.851591289,0.851591289,0.851591289,0.851591289,0
20,SIS,0.901427262,0.901427262,0.851446217,0.851446217,0.901427262,0.881434844,0.027375746
21,SIS,0.851300861,0.901330811,0.851300861,0.901330811,0.851300861,0.871312841,0.027402532
22,SIS,0.85115522,0.824382127,0.85115522,0.824382127,0.901234171,0.850461773,0.031381101
23,SIS,0.824209952,0.824209952,0.901137342,0.851009294,0.851009294,0.850315167,0.031411867
24,SIS,0.850863081,0.850863081,0.901040323,0.901040323,0.82403744,0.86556885,0.034182701
25,SIS,0.850716581,0.900943113,0.823864589,0.850716581,0.850716581,0.855391489,0.027993125
26,SIS,0.900091547,0.857561845,0.857561845,0.823691398,0.823691398,0.852519606,0.031528039
27,SIS,0.897183884,0.897183884,0.823517866,0.85742165,0.85742165,0.866545786,0.03120612
28,SIS,0.897082587,0.897082587,0.811982304,0.811982304,0.823343992,0.848294755,0.044777879
29,SIS,0.823169775,0.85714043,0.823169775,0.823169775,0.897609246,0.8448518,0.032957128
30,SIS,0.897508169,0.822995214,0.822995214,0.811611095,0.897508169,0.850523572,0.043141936
