run_id,n_features,method,accuracy,baseline_accuracy
2,27,RandomForest,0.813596491,0.775219298
2,28,RandomForest,0.809210526,0.775219298
2,29,RandomForest,0.775219298,0.775219298
2,30,RandomForest,0.809210526,0.775219298
2,1,SVM,0.701754386,0.775219298
2,2,SVM,0.751096491,0.775219298
2,3,SVM,0.790570175,0.775219298
2,4,SVM,0.8125,0.775219298
2,5,SVM,0.80372807,0.775219298
2,6,SVM,0.791666667,0.775219298
2,7,SVM,0.8125,0.775219298
2,8,SVM,0.775219298,0.775219298
2,9,SVM,0.80372807,0.775219298
2,10,SVM,0.807017544,0.775219298
2,11,SVM,0.80372807,0.775219298
2,12,SVM,0.80372807,0.775219298
2,13,SVM,0.80372807,0.775219298
2,14,SVM,0.80372807,0.775219298
2,15,SVM,0.80372807,0.775219298
2,16,SVM,0.80372807,0.775219298
2,17,SVM,0.80372807,0.775219298
2,18,SVM,0.775219298,0.775219298
2,19,SVM,0.80372807,0.775219298
2,20,SVM,0.815789474,0.775219298
2,21,SVM,0.815789474,0.775219298
2,22,SVM,0.80372807,0.775219298
2,23,SVM,0.80372807,0.775219298
2,24,SVM,0.775219298,0.775219298
2,25,SVM,0.775219298,0.775219298
2,26,SVM,0.80372807,0.775219298
2,27,SVM,0.775219298,0.775219298
2,28,SVM,0.775219298,0.775219298
2,29,SVM,0.80372807,0.775219298
2,30,SVM,0.775219298,0.775219298
3,1,TVS-RF,0.582236842,0.809210526
3,2,TVS-RF,0.643640351,0.809210526
3,3,TVS-RF,0.596491228,0.809210526
3,4,TVS-RF,0.638157895,0.809210526
3,5,TVS-RF,0.618421053,0.809210526
3,6,TVS-RF,0.640350877,0.809210526
3,7,TVS-RF,0.702850877,0.809210526
3,8,TVS-RF,0.665570175,0.809210526
3,9,TVS-RF,0.674342105,0.809210526
3,10,TVS-RF,0.697368421,0.809210526
3,11,TVS-RF,0.776315789,0.809210526
3,12,TVS-RF,0.703947368,0.809210526
3,13,TVS-RF,0.63377193,0.809210526
3,14,TVS-RF,0.709429825,0.809210526
3,15,TVS-RF,0.733552632,0.809210526
3,16,TVS-RF,0.689692982,0.809210526
3,17,TVS-RF,0.674342105,0.809210526
3,18,TVS-RF,0.697368421,0.809210526
3,19,TVS-RF,0.692982456,0.809210526
3,20,TVS-RF,0.645833333,0.809210526
3,21,TVS-RF,0.689692982,0.809210526
3,22,TVS-RF,0.668859649,0.809210526
3,23,TVS-RF,0.776315789,0.809210526
3,24,TVS-RF,0.790570175,0.809210526
3,25,TVS-RF,0.684210526,0.809210526
3,26,TVS-RF,0.699561404,0.809210526
3,27,TVS-RF,0.671052632,0.809210526
3,28,TVS-RF,0.790570175,0.809210526
3,29,TVS-RF,0.783991228,0.809210526
3,30,TVS-RF,0.783991228,0.809210526
3,1,REVS-RF,0.582236842,0.809210526
3,2,REVS-RF,0.769736842,0.809210526
3,3,REVS-RF,0.790570175,0.809210526
3,4,REVS-RF,0.805921053,0.809210526
3,5,REVS-RF,0.814692982,0.809210526
3,6,REVS-RF,0.805921053,0.809210526
3,7,REVS-RF,0.791666667,0.809210526
3,8,REVS-RF,0.791666667,0.809210526
3,9,REVS-RF,0.809210526,0.809210526
3,10,REVS-RF,0.824561404,0.809210526
3,11,REVS-RF,0.813596491,0.809210526
3,12,REVS-RF,0.8125,0.809210526
3,13,REVS-RF,0.8125,0.809210526
3,14,REVS-RF,0.815789474,0.809210526
3,15,REVS-RF,0.813596491,0.809210526
3,16,REVS-RF,0.809210526,0.809210526
3,17,REVS-RF,0.815789474,0.809210526
3,18,REVS-RF,0.775219298,0.809210526
3,19,REVS-RF,0.824561404,0.809210526
3,20,REVS-RF,0.815789474,0.809210526
3,21,REVS-RF,0.815789474,0.809210526
3,22,REVS-RF,0.815789474,0.809210526
3,23,REVS-RF,0.775219298,0.809210526
3,24,REVS-RF,0.815789474,0.809210526
3,25,REVS-RF,0.815789474,0.809210526
3,26,REVS-RF,0.836622807,0.809210526
3,27,REVS-RF,0.815789474,0.809210526
3,28,REVS-RF,0.809210526,0.809210526
3,29,REVS-RF,0.815789474,0.809210526
3,30,REVS-RF,0.809210526,0.809210526
3,1,Logistic,0.535087719,0.809210526
3,2,Logistic,0.597587719,0.809210526
3,3,Logistic,0.638157895,0.809210526
3,4,Logistic,0.734649123,0.809210526
3,5,Logistic,0.755482456,0.809210526
3,6,Logistic,0.592105263,0.809210526
3,7,Logistic,0.651315789,0.809210526
3,8,Logistic,0.657894737,0.809210526
3,9,Logistic,0.718201754,0.809210526
3,10,Logistic,0.652412281,0.809210526
3,11,Logistic,0.654605263,0.809210526
3,12,Logistic,0.734649123,0.809210526
3,13,Logistic,0.793859649,0.809210526
3,14,Logistic,0.751096491,0.809210526
3,15,Logistic,0.79495614,0.809210526
3,16,Logistic,0.798245614,0.809210526
3,17,Logistic,0.775219298,0.809210526
